City,PM25,NO2,PM10,AQI_PM25,AQI_NO2,AQI_PM10,AQI_MAX,datetimeUtc
Gera Friedericistr.,7,5.9,15,30,6,14,30,2024-02-05T18:00:00+00:00
Gera Friedericistr.,7.4,5.8,15,31,6,14,31,2024-02-05T19:00:00+00:00
Gera Friedericistr.,7.5,5.8,16,32,6,15,32,2024-02-05T20:00:00+00:00
Gera Friedericistr.,8,6,17,34,6,16,34,2024-02-05T21:00:00+00:00
Gera Friedericistr.,8.5,11,18,36,11,17,36,2024-02-05T22:00:00+00:00
Gera Friedericistr.,8.5,5.6,19,36,6,18,36,2024-02-05T23:00:00+00:00
Gera Friedericistr.,8.9,3,19,38,3,18,38,2024-02-06T00:00:00+00:00
Gera Friedericistr.,9.3,4.7,20,39,5,19,39,2024-02-06T01:00:00+00:00
Gera Friedericistr.,9.5,3.2,19,40,4,18,40,2024-02-06T02:00:00+00:00
Gera Friedericistr.,9.8,4.7,20,41,5,19,41,2024-02-06T03:00:00+00:00
Gera Friedericistr.,9.7,1.9,19,41,2,18,41,2024-02-06T04:00:00+00:00
Gera Friedericistr.,6.9,3,13,29,3,13,29,2024-02-06T05:00:00+00:00
Gera Friedericistr.,4.8,4.9,8.7,20,5,9,20,2024-02-06T06:00:00+00:00
Gera Friedericistr.,4.2,5.7,8,18,6,8,18,2024-02-06T07:00:00+00:00
Gera Friedericistr.,4.1,5.5,8.2,18,6,8,18,2024-02-06T08:00:00+00:00
Gera Friedericistr.,4.4,5.7,9.8,19,6,10,19,2024-02-06T09:00:00+00:00
Gera Friedericistr.,3.4,4.9,6.3,15,5,6,15,2024-02-06T10:00:00+00:00
Gera Friedericistr.,3.5,5,8.1,15,5,8,15,2024-02-06T11:00:00+00:00
Gera Friedericistr.,3.5,4.5,7.5,15,5,7,15,2024-02-06T12:00:00+00:00
Gera Friedericistr.,3.4,4.5,7.9,15,5,8,15,2024-02-06T13:00:00+00:00
Gera Friedericistr.,3.1,6.1,6.4,13,6,6,13,2024-02-06T14:00:00+00:00
Gera Friedericistr.,3.5,7.1,6.7,15,7,7,15,2024-02-06T15:00:00+00:00
Gera Friedericistr.,4.3,6.5,7.9,18,7,8,18,2024-02-06T16:00:00+00:00
Gera Friedericistr.,5.6,6.2,10,24,6,10,24,2024-02-06T17:00:00+00:00
Gera Friedericistr.,5.6,5.3,10,24,5,10,24,2024-02-06T18:00:00+00:00
Gera Friedericistr.,4.6,5.1,8.6,20,5,8,20,2024-02-06T19:00:00+00:00
Gera Friedericistr.,4.4,5.1,8.1,19,5,8,19,2024-02-06T20:00:00+00:00
Gera Friedericistr.,3.7,4.8,6.4,16,5,6,16,2024-02-06T21:00:00+00:00
Gera Friedericistr.,3.4,4.5,6.1,15,5,6,15,2024-02-06T22:00:00+00:00
Gera Friedericistr.,3.3,3.1,5.6,14,3,6,14,2024-02-06T23:00:00+00:00
Gera Friedericistr.,3.5,1.9,6,15,2,6,15,2024-02-07T00:00:00+00:00
Gera Friedericistr.,4.7,1.9,8.4,20,2,8,20,2024-02-07T01:00:00+00:00
Gera Friedericistr.,4.6,1.9,8,20,2,8,20,2024-02-07T02:00:00+00:00
Gera Friedericistr.,5,1.9,8.9,21,2,9,21,2024-02-07T03:00:00+00:00
Gera Friedericistr.,4.8,1.9,9,20,2,9,20,2024-02-07T04:00:00+00:00
Gera Friedericistr.,4.5,1.9,8.2,19,2,8,19,2024-02-07T05:00:00+00:00
Gera Friedericistr.,4.1,4.6,7.2,18,5,7,18,2024-02-07T06:00:00+00:00
Gera Friedericistr.,3.7,5.3,6.6,16,5,7,16,2024-02-07T07:00:00+00:00
Gera Friedericistr.,2.9,5.3,5.1,13,5,5,13,2024-02-07T08:00:00+00:00
Gera Friedericistr.,2.9,15,4.5,13,15,5,15,2024-02-07T09:00:00+00:00
Gera Friedericistr.,1.9,17,2.9,8,17,3,17,2024-02-07T10:00:00+00:00
Gera Friedericistr.,1.8,9.5,2.7,8,9,3,9,2024-02-07T11:00:00+00:00
Gera Friedericistr.,1.5,6,2.1,7,6,2,7,2024-02-07T12:00:00+00:00
Gera Friedericistr.,1.6,6.4,2.3,7,7,3,7,2024-02-07T13:00:00+00:00
Gera Friedericistr.,1.8,11,2.9,8,11,3,11,2024-02-07T14:00:00+00:00
Gera Friedericistr.,2.1,15,3.1,9,15,3,15,2024-02-07T15:00:00+00:00
Gera Friedericistr.,2.5,16,3.5,11,16,4,16,2024-02-07T16:00:00+00:00
Gera Friedericistr.,2.7,13,3.7,12,13,4,13,2024-02-07T17:00:00+00:00
Gera Friedericistr.,4,17,5.4,17,17,5,17,2024-02-07T18:00:00+00:00
Gera Friedericistr.,5.4,17,7,23,17,7,23,2024-02-07T19:00:00+00:00
Gera Friedericistr.,5.8,15,7.7,25,15,8,25,2024-02-07T20:00:00+00:00
Gera Friedericistr.,5.3,11,6.9,23,11,7,23,2024-02-07T21:00:00+00:00
Gera Friedericistr.,6.4,10,7.9,27,10,8,27,2024-02-07T22:00:00+00:00
Gera Friedericistr.,6.7,11,8.2,28,11,8,28,2024-02-07T23:00:00+00:00
Gera Friedericistr.,5,7.1,6.5,21,7,7,21,2024-02-08T00:00:00+00:00
Gera Friedericistr.,5,9.8,8,21,10,8,21,2024-02-08T01:00:00+00:00
Gera Friedericistr.,4.8,4.8,7,20,5,7,20,2024-02-08T02:00:00+00:00
Gera Friedericistr.,4.6,7.2,6.8,20,7,7,20,2024-02-08T03:00:00+00:00
Gera Friedericistr.,4.8,7,6.9,20,7,7,20,2024-02-08T04:00:00+00:00
Gera Friedericistr.,5.5,16,7.9,23,16,8,23,2024-02-08T05:00:00+00:00
Gera Friedericistr.,6.2,20,8.1,26,19,8,26,2024-02-08T06:00:00+00:00
Gera Friedericistr.,7.7,30,9.9,33,29,10,33,2024-02-08T07:00:00+00:00
Gera Friedericistr.,9,25,12,38,24,12,38,2024-02-08T08:00:00+00:00
Gera Friedericistr.,11,15,14,46,15,13,46,2024-02-08T09:00:00+00:00
Gera Friedericistr.,12,18,15,50,17,14,50,2024-02-08T10:00:00+00:00
Gera Friedericistr.,11,17,14,46,17,13,46,2024-02-08T11:00:00+00:00
Gera Friedericistr.,11,17,15,46,17,14,46,2024-02-08T12:00:00+00:00
Gera Friedericistr.,11,26,16,46,25,15,46,2024-02-08T13:00:00+00:00
Gera Friedericistr.,7.8,30,9.9,33,29,10,33,2024-02-08T14:00:00+00:00
Gera Friedericistr.,6.6,30,8.1,28,29,8,29,2024-02-08T15:00:00+00:00
Gera Friedericistr.,7.1,33,8.7,30,32,9,32,2024-02-08T16:00:00+00:00
Gera Friedericistr.,7,33,8.5,30,32,8,32,2024-02-08T17:00:00+00:00
Gera Friedericistr.,6.7,30,8.1,28,29,8,29,2024-02-08T18:00:00+00:00
Gera Friedericistr.,7.4,24,8.8,31,23,9,31,2024-02-08T19:00:00+00:00
Gera Friedericistr.,8.1,23,9.6,34,22,9,34,2024-02-08T20:00:00+00:00
Gera Friedericistr.,6.1,24,7.4,26,23,7,26,2024-02-08T21:00:00+00:00
Gera Friedericistr.,6.1,22,7.7,26,21,8,26,2024-02-08T22:00:00+00:00
Gera Friedericistr.,7.5,16,9.1,32,16,9,32,2024-02-08T23:00:00+00:00
Gera Friedericistr.,8.8,25,11,37,24,11,37,2024-02-09T00:00:00+00:00
Gera Friedericistr.,11,25,15,46,24,14,46,2024-02-09T01:00:00+00:00
Gera Friedericistr.,11,32,20,46,31,19,46,2024-02-09T02:00:00+00:00
Gera Friedericistr.,10,22,18,42,21,17,42,2024-02-09T03:00:00+00:00
Gera Friedericistr.,9.7,14,18,41,14,17,41,2024-02-09T04:00:00+00:00
Gera Friedericistr.,9.8,17,20,41,17,19,41,2024-02-09T05:00:00+00:00
Gera Friedericistr.,9.3,29,20,39,28,19,39,2024-02-09T06:00:00+00:00
Gera Friedericistr.,4.4,20,8.6,19,19,8,19,2024-02-09T07:00:00+00:00
Gera Friedericistr.,3.7,9.8,6.7,16,10,7,16,2024-02-09T08:00:00+00:00
Gera Friedericistr.,3.7,12,8.3,16,12,8,16,2024-02-09T09:00:00+00:00
Gera Friedericistr.,3.1,8.4,6,13,8,6,13,2024-02-09T10:00:00+00:00
Gera Friedericistr.,2.8,5.7,5.4,12,6,5,12,2024-02-09T11:00:00+00:00
Gera Friedericistr.,4.7,9.3,13,20,9,13,20,2024-02-09T12:00:00+00:00
Gera Friedericistr.,6.1,11,22,26,11,21,26,2024-02-09T13:00:00+00:00
Gera Friedericistr.,5.5,20,18,23,19,17,23,2024-02-09T14:00:00+00:00
Gera Friedericistr.,5.2,35,13,22,34,13,34,2024-02-09T15:00:00+00:00
Gera Friedericistr.,5.4,26,15,23,25,14,25,2024-02-09T16:00:00+00:00
Gera Friedericistr.,6.1,26,12,26,25,12,26,2024-02-09T17:00:00+00:00
Gera Friedericistr.,8,19,14,34,18,13,34,2024-02-09T18:00:00+00:00
Gera Friedericistr.,8.2,24,14,35,23,13,35,2024-02-09T19:00:00+00:00
Gera Friedericistr.,6.8,17,11,29,17,11,29,2024-02-09T20:00:00+00:00
Gera Friedericistr.,5.9,16,9.8,25,16,10,25,2024-02-09T21:00:00+00:00
Gera Friedericistr.,5.3,13,8.6,23,13,8,23,2024-02-09T22:00:00+00:00
Gera Friedericistr.,4.5,15,7.8,19,15,8,19,2024-02-09T23:00:00+00:00
Gera Friedericistr.,4.4,12,8.2,19,12,8,19,2024-02-10T00:00:00+00:00
Gera Friedericistr.,4.3,17,7.4,18,17,7,18,2024-02-10T01:00:00+00:00
Gera Friedericistr.,4.4,19,7.6,19,18,8,19,2024-02-10T02:00:00+00:00
Gera Friedericistr.,4.5,24,8.1,19,23,8,23,2024-02-10T03:00:00+00:00
Gera Friedericistr.,3.9,24,6.7,17,23,7,23,2024-02-10T04:00:00+00:00
Gera Friedericistr.,3.5,17,6.6,15,17,7,17,2024-02-10T05:00:00+00:00
Gera Friedericistr.,3.6,15,6.4,15,15,6,15,2024-02-10T06:00:00+00:00
